model,profiler_type,size_bytes
mistral-7b,TORCH,1114198954
mistral-7b,PROTON,171632
qwen3-14b,TORCH,1420212173
qwen3-14b,PROTON,190765
llama-3.2-3b,TORCH,951312658
llama-3.2-3b,PROTON,174033
llama-3.1-8b,TORCH,1105145854
llama-3.1-8b,PROTON,164490
gemma-3-4b,TORCH,1348787048
gemma-3-4b,PROTON,271858
phi-4,TORCH,1389554811
phi-4,PROTON,196665
mistral-7b,NSYS,59051527
qwen3-14b,NSYS,76175100
llama-3.2-3b,NSYS,50375612
llama-3.1-8b,NSYS,58898031
gemma-3-4b,NSYS,70990128
phi-4,NSYS,74228119
