run,script,baseline,proton,torch,nsys
1,01-vector-add.py,5.48,5.69,5.50,6.14
2,01-vector-add.py,5.55,5.50,5.50,6.33
3,01-vector-add.py,5.58,5.90,5.59,5.93
4,01-vector-add.py,5.62,5.54,5.51,6.17
5,01-vector-add.py,5.53,5.54,5.97,6.10
1,02-fused-softmax.py,6.20,6.05,5.91,6.33
2,02-fused-softmax.py,5.83,5.86,5.91,6.53
3,02-fused-softmax.py,5.76,6.27,6.02,6.72
4,02-fused-softmax.py,5.83,5.87,5.85,6.31
5,02-fused-softmax.py,5.83,5.86,6.24,6.36
1,03-matrix-multiplication.py,18.34,17.46,20.30,22.91
2,03-matrix-multiplication.py,17.76,18.96,20.21,22.10
3,03-matrix-multiplication.py,17.82,17.65,20.60,22.11
4,03-matrix-multiplication.py,18.35,17.41,20.35,23.33
5,03-matrix-multiplication.py,17.85,17.97,20.29,22.85
1,04-low-memory-dropout.py,5.57,5.66,5.56,8.91
2,04-low-memory-dropout.py,6.37,5.80,5.53,8.50
3,04-low-memory-dropout.py,5.57,5.50,5.52,6.64
4,04-low-memory-dropout.py,5.49,5.96,5.93,7.30
5,04-low-memory-dropout.py,5.45,5.52,5.57,6.98
1,05-layer-norm.py,6.56,6.38,6.05,7.08
2,05-layer-norm.py,6.68,7.17,6.03,7.13
3,05-layer-norm.py,6.14,6.64,6.27,6.69
4,05-layer-norm.py,6.13,6.54,6.49,6.50
5,05-layer-norm.py,7.40,6.06,6.12,6.94
1,06-fused-attention.py,23.06,23.41,31.07,24.84
2,06-fused-attention.py,22.81,23.53,31.69,24.13
3,06-fused-attention.py,22.89,22.91,30.69,24.51
4,06-fused-attention.py,23.11,23.17,30.77,25.22
5,06-fused-attention.py,22.70,23.90,30.44,24.49
1,08-grouped-gemm.py,6.25,5.91,5.91,6.32
2,08-grouped-gemm.py,5.85,5.92,5.84,6.35
3,08-grouped-gemm.py,5.87,6.17,5.92,6.68
4,08-grouped-gemm.py,5.98,5.97,5.91,7.56
5,08-grouped-gemm.py,5.87,5.89,6.22,6.37
